Date,HRV,	RHR
9/23/2025,65,47
9/24/2025,,49
9/25/2025,72,49
9/26/2025,66,47
9/27/2025,65,48
9/28/2025,52,48
9/29/2025,50,50
9/30/2025,,
10/1/2025,56,50
10/2/2025,61,50
10/3/2025,60,51
10/4/2025,46,51
10/5/2025,56,50
10/6/2025,51,51
10/7/2025,51,50
10/8/2025,66,49
10/9/2025,60,49
10/10/2025,57,49
10/11/2025,70,50
10/12/2025,49,52
10/13/2025,64,49
10/14/2025,70,47
10/15/2025,52,51
10/16/2025,,
10/17/2025,43,54
10/18/2025,67,48
10/19/2025,70,48
10/20/2025,55,47
10/21/2025,70,47
10/22/2025,64,49
10/23/2025,48,51
10/24/2025,66,51
10/25/2025,59,50
10/26/2025,44,50
10/27/2025,48,53
10/28/2025,48,52
10/29/2025,45,53
10/30/2025,46,52
10/31/2025,,
11/1/2025,48,55
11/2/2025,34,57
11/3/2025,35,64
11/4/2025,37,54
11/5/2025,56,51
11/6/2025,56,50
11/7/2025,55,50
11/8/2025,53,51
11/9/2025,42,54
11/10/2025,55,52
11/11/2025,,
11/12/2025,49,52
11/13/2025,40,53
11/14/2025,43,54
11/15/2025,37,56
11/16/2025,42,55
11/17/2025,54,52
11/18/2025,45,53
11/19/2025,33,56
11/20/2025,37,54
11/21/2025,51,53
11/22/2025,35,55
11/23/2025,44,52
11/24/2025,49,52
11/25/2025,47,53
11/26/2025,41,53
11/27/2025,56,49
11/28/2025,51,53
11/29/2025,46,51
11/30/2025,47,50
12/1/2025,49,50
12/2/2025,42,52
12/3/2025,56,52
12/4/2025,56,51
12/5/2025,68,51
12/6/2025,54,52
12/7/2025,42,52
12/8/2025,44,52
12/9/2025,58,50
12/10/2025,53,52
12/11/2025,49,51
12/12/2025,40,52
12/13/2025,43,52
12/14/2025,44,52
12/15/2025,39,51
12/16/2025,49,51
12/17/2025,31,54
12/18/2025,31,55
12/19/2025,38,53
12/20/2025,45,56
12/21/2025,44,52
12/22/2025,48,52
12/23/2025,48,50
12/24/2025,35,53
12/25/2025,35,54
12/26/2025,37,53
12/27/2025,47,51
12/28/2025,40,54
12/29/2025,41,50
12/30/2025,49,50
12/31/2025,44,53
1/1/2026,37,54
1/2/2026,43,53
1/3/2026,46,52
1/4/2026,46,51
1/5/2026,47,51
1/6/2026,53,49
1/7/2026,60,51
1/8/2026,55,50
1/9/2026,48,51
1/10/2026,54,49
1/11/2026,59,48
1/12/2026,61,48
1/13/2026,55,48
1/14/2026,56,50
1/15/2026,62,49
1/16/2026,60,49
1/17/2026,51,51
1/18/2026,55,51
1/19/2026,48,52
1/20/2026,40,52
1/21/2026,50,51
1/22/2026,49,48
1/23/2026,42,51
1/24/2026,46,52
1/25/2026,61,49
1/26/2026,50,49
1/27/2026,53,48
1/28/2026,55,49
1/29/2026,49,49
1/30/2026,48,50
1/31/2026,53,51
2/1/2026,54,48
2/2/2026,48,49
2/3/2026,39,50
2/4/2026,39,50
2/5/2026,46,50
2/6/2026,53,51
2/7/2026,52,52
2/8/2026,52,50
2/9/2026,53,51
2/10/2026,44,51
2/11/2026,45,54
2/12/2026,50,51
2/13/2026,58,51
2/14/2026,48,53
2/15/2026,37,53
